RA,Nome,CPF,Sexo,Data Nasc,Email,Curso,Termo,Periodo
13001,Joao,1111,M,11/01/1980,j@mail.com,18,1,M
13002,Maria,2222,F,10/10/1990,m@mail.com,18,2,M
13003,Jose,3333,M,01/01/1995,jj@mail.com,22,3,N
13004,Pedo,4444,M,02/12/1950,635@mail.com,22,4,N
13005,Catarina,5555,F,01/01/1999,390@mail.com,18,5,M
13006,Joao Catarina,5556,M,01/02/1995,627@mail.com,18,6,M
13007,Maria Joao Catarina,5557,F,02/02/1995,443@mail.com,18,1,M
13008,Jose Maria Joao Catarina,5558,M,03/02/1995,589@mail.com,18,1,M
13009,Pedo Jose Maria Joao Catarina,5559,M,04/02/1995,97@mail.com,18,1,M
13010,Catarina Pedo Jose Maria Joao Catarina,5560,F,05/02/1995,397@mail.com,22,1,M
13011,Joao Catarina Catarina Pedo Jose Maria Joao Catarina,5561,M,06/02/1995,428@mail.com,22,1,M
13012,Maria Joao Catarina Joao Catarina Catarina Pedo Jose Maria Joao Catarina,5562,F,07/02/1995,228@mail.com,22,1,M
13013,Jose Maria Joao Catarina Maria Joao Catarina Joao Catarina Catarina Pedo Jose Maria Joao Catarina,5563,M,08/02/1995,656@mail.com,22,1,M
13014,Pedo Jose Maria Joao Catarina Jose Maria Joao Catarina Maria Joao Catarina Joao Catarina Catarina Pedo Jose Maria Joao Catarina,5564,M,09/02/1995,505@mail.com,18,1,M
13015,Ana,5565,F,10/02/1995,399@mail.com,22,1,M
13016,Beatriz,5566,F,11/02/1995,140@mail.com,18,1,M
13017,Juliana,5567,F,12/02/1995,80@mail.com,18,1,M
13018,Ana Beatriz,5568,F,13/02/1995,264@mail.com,22,1,M
13019,Beatriz Juliana,5569,F,14/02/1995,286@mail.com,18,1,M
13020,Juliana Ana Beatriz,5570,F,15/02/1995,720@mail.com,22,1,M
13021,Ana Beatriz Beatriz Juliana,5571,F,16/02/1995,303@mail.com,22,1,M
13022,Beatriz Juliana Juliana Ana Beatriz,5572,F,17/02/1995,281@mail.com,22,1,M
13023,Juliana Ana Beatriz Ana Beatriz Beatriz Juliana,5573,F,18/02/1995,689@mail.com,22,1,M
13024,Ana Beatriz Beatriz Juliana Beatriz Juliana Juliana Ana Beatriz,5574,F,19/02/1995,533@mail.com,18,2,M
13025,Beatriz Juliana Juliana Ana Beatriz Juliana Ana Beatriz Ana Beatriz Beatriz Juliana,5575,F,20/02/1995,447@mail.com,18,2,M
13026,Juliana Ana Beatriz Ana Beatriz Beatriz Juliana Ana Beatriz Beatriz Juliana Beatriz Juliana Juliana Ana Beatriz,5576,F,21/02/1995,711@mail.com,18,2,M
13027,Joaquim,5577,M,01/05/1990,485@mail.com,18,2,M
13028,Pedro,5578,M,02/05/1990,939@mail.com,18,2,M
13029,Vitor,5579,M,03/05/1990,38@mail.com,18,2,M
13030,Joaquim Vitor,5580,M,04/05/1990,596@mail.com,22,2,M
13031,Pedro Joaquim Vitor,5581,M,05/05/1990,477@mail.com,18,2,M
13032,Vitor Pedro Joaquim Vitor,5582,M,06/05/1990,663@mail.com,22,2,M
13033,Joaquim Vitor Vitor Pedro Joaquim Vitor,5583,M,07/05/1990,407@mail.com,22,2,M
13034,Pedro Joaquim Vitor Joaquim Vitor Vitor Pedro Joaquim Vitor,5584,M,08/05/1990,879@mail.com,22,2,M
13035,Vitor Pedro Joaquim Vitor Pedro Joaquim Vitor Joaquim Vitor Vitor Pedro Joaquim Vitor,5585,M,09/05/1990,722@mail.com,22,2,M
13036,Joaquim Vitor Vitor Pedro Joaquim Vitor Vitor Pedro Joaquim Vitor Pedro Joaquim Vitor Joaquim Vitor Vitor Pedro Joaquim Vitor,5586,M,10/05/1990,702@mail.com,22,2,M
13037,Joaquim,5587,M,11/05/1990,225@mail.com,18,2,M
13038,Pedro,5588,M,12/05/1990,881@mail.com,18,2,M
13039,Vitor,5589,M,13/05/1990,25@mail.com,22,2,M
13040,Joaquim Vitor,5590,M,14/05/1990,120@mail.com,18,2,M
13041,Alana,5591,F,15/05/1990,19@mail.com,22,2,M
